Krish Chanda,To get all the money in the world ,I do not know the answer to that to be honest,K,4,4
4
Wolf,W,2,2
Bear,B,2,7
Tiger,T,7,2
Lion,L,7,7
100
0,0,.
0,1,.
0,2,.
0,3,.
0,4,.
0,5,.
0,6,.
0,7,.
0,8,.
0,9,.
1,0,.
1,1,X
1,2,X
1,3,X
1,4,.
1,5,.
1,6,X
1,7,X
1,8,X
1,9,.
2,0,.
2,1,X
2,2,V
2,3,X
2,4,.
2,5,.
2,6,X
2,7,D
2,8,X
2,9,X
3,0,.
3,1,X
3,2,X
3,3,.
3,4,.
3,5,.
3,6,.
3,7,X
3,8,X
3,9,.
4,0,.
4,1,.
4,2,X
4,3,.
4,4,A
4,5,.
4,6,.
4,7,X
4,8,.
4,9,.
5,0,.
5,1,.
5,2,X
5,3,.
5,4,.
5,5,.
5,6,.
5,7,X
5,8,.
5,9,.
6,0,.
6,1,X
6,2,X
6,3,.
6,4,.
6,5,.
6,6,.
6,7,X
6,8,X
6,9,.
7,0,.
7,1,X
7,2,G
7,3,X
7,4,.
7,5,.
7,6,X
7,7,W
7,8,X
7,9,X
8,0,.
8,1,X
8,2,X
8,3,X
8,4,.
8,5,.
8,6,X
8,7,X
8,8,X
8,9,.
9,0,.
9,1,.
9,2,.
9,3,.
9,4,.
9,5,.
9,6,.
9,7,.
9,8,.
9,9,.
