0,C,.,16.35,2109.89
0,C,#,17.32,1991.47
0,D,b,17.32,1991.47
0,D,.,18.35,1879.69
0,D,#,19.45,1774.20
0,E,b,19.45,1774.20
0,E,.,20.60,1674.62
0,F,.,21.83,1580.63
0,F,#,23.12,1491.91
0,G,b,23.12,1491.91
0,G,.,24.50,1408.18
0,G,#,25.96,1329.14
0,A,b,25.96,1329.14
0,A,.,27.50,1254.55
0,A,#,29.14,1184.13
0,B,b,29.14,1184.13
0,B,.,30.87,1117.67
1,C,.,32.70,1054.94
1,C,#,34.65,995.73
1,D,b,34.65,995.73
1,D,.,36.71,939.85
1,D,#,38.89,887.10
1,E,b,38.89,887.10
1,E,.,41.20,837.31
1,F,.,43.65,790.31
1,F,#,46.25,745.96
1,G,b,46.25,745.96
1,G,.,49.00,704.09
1,G,#,51.91,664.57
1,A,b,51.91,664.57
1,A,.,55.00,627.27
1,A,#,58.27,592.07
1,B,b,61.74,558.84
1,B,.,61.74,558.84
2,C,.,65.41,527.47
2,C,#,69.30,497.87
2,D,b,69.30,497.87
2,D,.,73.42,469.92
2,D,#,77.78,443.55
2,E,b,77.78,443.55
2,E,.,82.41,418.65
2,F,.,87.31,395.16
2,F,#,92.50,372.98
2,G,b,92.50,372.98
2,G,.,98.00,352.04
2,G,#,103.83,332.29
2,A,b,103.83,332.29
2,A,.,110.00,313.64
2,A,#,116.54,296.03
2,B,b,116.54,296.03
2,B,.,123.47,279.42
3,C,.,130.81,263.74
3,C,#,138.59,248.93
3,D,b,138.59,248.93
3,D,.,146.83,234.96
3,D,#,155.56,221.77
3,E,b,155.56,221.77
3,E,.,164.81,209.33
3,F,.,174.61,197.58
3,F,#,185.00,186.49
3,G,b,185.00,186.49
3,G,.,196.00,176.02
3,G,#,207.65,166.14
3,A,b,207.65,166.14
3,A,.,220.00,156.82
3,A,#,233.08,148.02
3,B,b,233.08,148.02
3,B,.,246.94,139.71
4,C,.,261.63,131.87
4,C,#,277.18,124.47
4,D,b,277.18,124.47
4,D,.,293.66,117.48
4,D,#,311.13,110.89
4,E,b,311.13,110.89
4,E,.,329.63,104.66
4,F,.,349.23,98.79
4,F,#,369.99,93.24
4,G,b,369.99,93.24
4,G,.,392.00,88.01
4,G,#,415.30,83.07
4,A,b,415.30,83.07
4,A,.,440.00,78.41
4,A,#,466.16,74.01
4,B,b,466.16,74.01
4,B,.,493.88,69.85
5,C,.,523.25,65.93
5,C,#,554.37,62.23
5,D,b,554.37,62.23
5,D,.,587.33,58.74
5,D,#,622.25,55.44
5,E,b,622.25,55.44
5,E,.,659.25,52.33
5,F,.,698.46,49.39
5,F,#,739.99,46.62
5,G,b,739.99,46.62
5,G,.,783.99,44.01
5,G,#,830.61,41.54
5,A,b,830.61,41.54
5,A,.,880.00,39.20
5,A,#,932.33,37.00
5,B,b,932.33,37.00
5,B,.,987.77,34.93
6,C,.,1046.50,32.97
6,C,#,1108.73,31.12
6,D,b,1108.73,31.12
6,D,.,1174.66,29.37
6,D,#,1244.51,27.72
6,E,b,1244.51,27.72
6,E,.,1318.51,26.17
6,F,.,1396.91,24.70
6,F,#,1479.98,23.31
6,G,b,1479.98,23.31
6,G,.,1567.98,22.00
6,G,#,1661.22,20.77
6,A,b,1661.22,20.77
6,A,.,1760.00,19.60
6,A,#,1864.66,18.50
6,B,b,1864.66,18.50
6,B,.,1975.53,17.46
7,C,.,2093.00,16.48
7,C,#,2217.46,15.56
7,D,b,2217.46,15.56
7,D,.,2349.32,14.69
7,D,#,2489.02,13.86
7,E,b,2489.02,13.86
7,E,.,2637.02,13.08
7,F,.,2793.83,12.35
7,F,#,2959.96,11.66
7,G,b,2959.96,11.66
7,G,.,3135.96,11.00
7,G,#,3322.44,10.38
7,A,b,3322.44,10.38
7,A,.,3520.00,9.80
7,A,#,3729.31,9.25
7,B,b,3729.31,9.25
7,B,.,3951.07,8.73
8,C,.,4186.01,8.24
8,C,#,4434.92,7.78
8,D,b,4434.92,7.78
8,D,.,4698.63,7.34
8,D,#,4978.03,6.93
8,E,b,4978.03,6.93
8,E,.,5274.04,6.54
8,F,.,5587.65,6.17
8,F,#,5919.91,5.83
8,G,b,5919.91,5.83
8,G,.,6271.93,5.50
8,G,#,6644.88,5.19
8,A,b,6644.88,5.19
8,A,.,7040.00,4.90
8,A,#,7458.62,4.63
8,B,b,7458.62,4.63
8,B,.,7902.13,4.37
